,accession,trivname
0,Q66K14,TBC9B_HUMAN
1,Q9UMR3,TBX20_HUMAN
2,Q9P031,TAP26_HUMAN
3,Q6PEY2,TBA3E_HUMAN
4,Q9P016,THYN1_HUMAN
5,Q71RH2,TLC3B_HUMAN
6,Q9BQ16,TICN3_HUMAN
7,A0A2R8Y7D0,TINCR_HUMAN
8,Q86W42,THOC6_HUMAN
9,Q9Y490,TLN1_HUMAN
10,Q5TEJ8,THMS2_HUMAN
11,Q92526,TCPW_HUMAN
12,Q96RS0,TGS1_HUMAN
13,A0A0J9YWX3,TJB16_HUMAN
14,Q5JTD0,TJAP1_HUMAN
15,A0A0J9YWP8,TJB13_HUMAN
16,Q01664,TFAP4_HUMAN
17,Q8WW62,TMED6_HUMAN
18,Q96B21,TM45B_HUMAN
19,Q9Y2Y6,TMM98_HUMAN
20,Q5T0D9,TPRGL_HUMAN
21,Q9H6L2,TM231_HUMAN
22,Q9UBP6,TRMB_HUMAN
23,Q9BU79,TM243_HUMAN
24,H0YL14,TM250_HUMAN
25,A0A1B0GX95,TVB74_HUMAN
26,O95859,TSN12_HUMAN
27,Q86SZ2,TPC6B_HUMAN
28,Q9BZA5,TXNG2_HUMAN
29,P49638,TTPA_HUMAN
30,Q14166,TTL12_HUMAN
31,A6NNY8,UBP27_HUMAN
32,Q8N6Y0,USBP1_HUMAN
33,Q8N8G2,VGLL2_HUMAN
34,P08670,VIME_HUMAN
35,Q8NFZ6,VN1R2_HUMAN
36,Q7Z5H5,VN1R4_HUMAN
37,Q9H598,VIAAT_HUMAN
38,Q6RSH7,VHLL_HUMAN
39,Q6VEQ5,WASH2_HUMAN
40,Q9Y3S1,WNK2_HUMAN
41,Q9H4A3,WNK1_HUMAN
42,P42768,WASP_HUMAN
43,P13010,XRCC5_HUMAN
44,O15537,XLRS1_HUMAN
45,Q9UID3,VPS51_HUMAN
46,O43379,WDR62_HUMAN
47,Q3MJ13,WDR72_HUMAN
48,Q96RL7,VP13A_HUMAN
49,Q8N5D0,WDTC1_HUMAN
50,O95497,VNN1_HUMAN
51,Q6PCB0,VWA1_HUMAN
